network,autonomous_system_number,autonomous_system_organization
91.213.17.0/24,16509,amazon-02
91.228.72.0/24,16509,amazon-02
91.228.74.0/24,16509,amazon-02
91.230.237.0/24,16509,amazon-02
94.140.18.0/24,16509,amazon-02
94.124.112.0/24,16509,amazon-02
93.191.219.0/24,16509,amazon-02
93.191.148.0/23,16509,amazon-02
93.94.3.0/24,16509,amazon-02
93.93.224.0/22,16509,amazon-02
92.114.40.0/22,16509,amazon-02
91.241.6.0/23,16509,amazon-02
91.240.233.0/24,16509,amazon-02
91.240.18.0/23,16509,amazon-02
91.238.209.0/24,16509,amazon-02
91.236.66.0/24,16509,amazon-02
91.236.18.0/24,16509,amazon-02
91.235.63.0/24,16509,amazon-02
91.233.120.0/24,16509,amazon-02
91.233.61.0/24,16509,amazon-02
91.231.35.0/24,16509,amazon-02
95.82.16.0/20,16509,amazon-02
99.78.172.0/24,16509,amazon-02
99.78.176.0/21,16509,amazon-02
99.78.192.0/18,16509,amazon-02
99.151.128.0/19,16509,amazon-02
99.151.112.0/20,16509,amazon-02
99.151.104.0/21,16509,amazon-02
99.151.64.0/19,16509,amazon-02
99.150.64.0/18,16509,amazon-02
99.150.32.0/19,16509,amazon-02
99.150.16.0/20,16509,amazon-02
99.151.160.0/20,16509,amazon-02
99.150.0.0/21,16509,amazon-02
99.87.0.0/19,16509,amazon-02
99.86.252.0/22,16509,amazon-02
99.86.250.0/23,16509,amazon-02
99.86.249.0/24,16509,amazon-02
99.86.232.0/24,16509,amazon-02
99.86.224.0/21,16509,amazon-02
99.86.220.0/22,16509,amazon-02
99.87.32.0/22,16509,amazon-02
99.151.176.0/22,16509,amazon-02
99.151.186.0/23,16509,amazon-02
99.151.188.0/23,16509,amazon-02
103.70.49.0/24,16509,amazon-02
103.58.192.0/24,16509,amazon-02
103.54.236.0/24,16509,amazon-02
103.53.55.0/24,16509,amazon-02
103.43.38.0/23,16509,amazon-02
103.39.40.0/24,16509,amazon-02
103.38.221.0/24,16509,amazon-02
103.25.126.0/24,16509,amazon-02
103.23.68.0/23,16509,amazon-02
103.16.101.0/24,16509,amazon-02
103.16.59.0/24,16509,amazon-02
103.16.56.0/24,16509,amazon-02
103.10.127.0/24,16509,amazon-02
103.8.172.0/22,16509,amazon-02
103.4.8.0/21,16509,amazon-02
102.210.190.0/23,16509,amazon-02
100.20.0.0/14,16509,amazon-02
99.86.218.0/23,16509,amazon-02
99.86.217.0/24,16509,amazon-02
99.86.192.0/20,16509,amazon-02
99.86.188.0/22,16509,amazon-02
99.84.64.0/19,16509,amazon-02
99.84.48.0/20,16509,amazon-02
99.84.33.0/24,16509,amazon-02
99.84.0.0/19,16509,amazon-02
99.83.128.0/17,16509,amazon-02
99.83.120.0/22,16509,amazon-02
99.83.102.0/24,16509,amazon-02
99.83.100.0/23,16509,amazon-02
99.83.96.0/22,16509,amazon-02
99.83.80.0/21,16509,amazon-02
99.83.72.0/22,16509,amazon-02
99.82.184.0/21,16509,amazon-02
99.82.160.0/20,16509,amazon-02
99.82.128.0/19,16509,amazon-02
99.82.0.0/22,16509,amazon-02
99.80.0.0/15,16509,amazon-02
99.79.0.0/16,16509,amazon-02
99.84.96.0/20,16509,amazon-02
91.193.42.0/24,16509,amazon-02
99.84.128.0/20,16509,amazon-02
99.84.192.0/18,16509,amazon-02
99.86.186.0/23,16509,amazon-02
99.86.185.0/24,16509,amazon-02
99.86.168.0/24,16509,amazon-02
99.86.160.0/21,16509,amazon-02
99.86.156.0/22,16509,amazon-02
99.86.154.0/23,16509,amazon-02
99.86.153.0/24,16509,amazon-02
99.86.144.0/21,16509,amazon-02
99.86.136.0/24,16509,amazon-02
99.86.128.0/21,16509,amazon-02
99.86.64.0/18,16509,amazon-02
99.86.56.0/24,16509,amazon-02
99.86.48.0/21,16509,amazon-02
99.86.32.0/20,16509,amazon-02
99.86.24.0/24,16509,amazon-02
99.86.16.0/21,16509,amazon-02
99.86.0.0/20,16509,amazon-02
99.84.160.0/19,16509,amazon-02
64.252.114.0/24,16509,amazon-02
64.252.112.0/23,16509,amazon-02
64.252.104.0/21,16509,amazon-02
52.84.240.0/21,16509,amazon-02
52.84.224.0/20,16509,amazon-02
52.84.220.0/22,16509,amazon-02
52.84.219.0/24,16509,amazon-02
52.84.216.0/23,16509,amazon-02
52.84.208.0/21,16509,amazon-02
52.84.200.0/21,16509,amazon-02
52.84.248.0/23,16509,amazon-02
52.84.192.0/23,16509,amazon-02
52.84.168.0/21,16509,amazon-02
52.84.166.0/23,16509,amazon-02
52.84.160.0/22,16509,amazon-02
52.84.156.0/22,16509,amazon-02
52.84.154.0/23,16509,amazon-02
52.84.148.0/22,16509,amazon-02
52.84.146.0/23,16509,amazon-02
52.84.176.0/20,16509,amazon-02
52.84.251.0/24,16509,amazon-02
52.84.252.0/22,16509,amazon-02
52.85.0.0/19,16509,amazon-02
52.85.112.0/20,16509,amazon-02
52.85.104.0/21,16509,amazon-02
52.85.102.0/23,16509,amazon-02
52.85.101.0/24,16509,amazon-02
52.85.99.0/24,16509,amazon-02
52.85.92.0/23,16509,amazon-02
52.85.88.0/22,16509,amazon-02
52.85.80.0/21,16509,amazon-02
52.85.72.0/21,16509,amazon-02
52.85.70.0/23,16509,amazon-02
52.85.60.0/22,16509,amazon-02
52.85.58.0/23,16509,amazon-02
52.85.48.0/22,16509,amazon-02
52.85.46.0/23,16509,amazon-02
52.85.44.0/24,16509,amazon-02
52.85.40.0/22,16509,amazon-02
52.85.32.0/21,16509,amazon-02
52.84.145.0/24,16509,amazon-02
52.85.128.0/19,16509,amazon-02
52.84.136.0/21,16509,amazon-02
