network,autonomous_system_number,autonomous_system_organization
209.240.192.0/19,8075,microsoft-corp-msn-as-block
212.1.218.0/23,8075,microsoft-corp-msn-as-block
212.1.222.0/23,8075,microsoft-corp-msn-as-block
212.46.57.0/24,8075,microsoft-corp-msn-as-block
212.56.56.0/24,8075,microsoft-corp-msn-as-block
213.156.248.0/24,8075,microsoft-corp-msn-as-block
213.199.128.0/18,8075,microsoft-corp-msn-as-block
213.218.48.0/22,8075,microsoft-corp-msn-as-block
216.32.180.0/22,8075,microsoft-corp-msn-as-block
216.73.183.0/24,8075,microsoft-corp-msn-as-block
216.99.143.0/24,8075,microsoft-corp-msn-as-block
216.126.214.0/24,8075,microsoft-corp-msn-as-block
216.183.110.0/23,8075,microsoft-corp-msn-as-block
216.220.203.0/24,8075,microsoft-corp-msn-as-block
216.220.204.0/24,8075,microsoft-corp-msn-as-block
208.76.45.0/24,8075,microsoft-corp-msn-as-block
204.13.120.0/21,8070,microsoft-corp-msn-as-block
208.68.136.0/21,8075,microsoft-corp-msn-as-block
207.174.51.0/24,8075,microsoft-corp-msn-as-block
204.79.135.0/24,8075,microsoft-corp-msn-as-block
204.79.179.0/24,8075,microsoft-corp-msn-as-block
204.79.195.0/24,8075,microsoft-corp-msn-as-block
204.79.197.0/24,8068,microsoft-corp-msn-as-block
204.79.252.0/24,8075,microsoft-corp-msn-as-block
204.95.96.0/20,8075,microsoft-corp-msn-as-block
204.152.95.0/24,8075,microsoft-corp-msn-as-block
204.152.140.0/23,8075,microsoft-corp-msn-as-block
204.209.219.0/24,8075,microsoft-corp-msn-as-block
204.239.54.0/24,8075,microsoft-corp-msn-as-block
205.135.211.0/24,8075,microsoft-corp-msn-as-block
205.135.212.0/24,8075,microsoft-corp-msn-as-block
205.143.44.0/23,8075,microsoft-corp-msn-as-block
206.138.168.0/21,8075,microsoft-corp-msn-as-block
206.191.224.0/19,8075,microsoft-corp-msn-as-block
206.209.107.0/24,8075,microsoft-corp-msn-as-block
207.46.0.0/19,8075,microsoft-corp-msn-as-block
207.46.36.0/22,8075,microsoft-corp-msn-as-block
207.46.40.0/21,8075,microsoft-corp-msn-as-block
207.46.48.0/20,8075,microsoft-corp-msn-as-block
207.46.64.0/18,8075,microsoft-corp-msn-as-block
207.46.128.0/17,8075,microsoft-corp-msn-as-block
207.68.128.0/18,8075,microsoft-corp-msn-as-block
208.66.228.0/24,8075,microsoft-corp-msn-as-block
145.46.160.0/23,8075,microsoft-corp-msn-as-block
194.41.16.0/24,8070,microsoft-corp-msn-as-block
193.149.64.0/19,8075,microsoft-corp-msn-as-block
158.23.0.0/16,8075,microsoft-corp-msn-as-block
158.158.0.0/16,8075,microsoft-corp-msn-as-block
159.105.18.0/24,8075,microsoft-corp-msn-as-block
40.64.0.0/15,8075,microsoft-corp-msn-as-block
161.69.104.0/24,8075,microsoft-corp-msn-as-block
161.131.217.0/24,8075,microsoft-corp-msn-as-block
161.195.96.0/21,8075,microsoft-corp-msn-as-block
161.195.155.0/24,8075,microsoft-corp-msn-as-block
161.221.0.0/22,8075,microsoft-corp-msn-as-block
161.221.4.0/24,8075,microsoft-corp-msn-as-block
162.254.245.0/24,8075,microsoft-corp-msn-as-block
162.254.247.0/24,8075,microsoft-corp-msn-as-block
164.75.128.0/24,8075,microsoft-corp-msn-as-block
165.159.132.0/22,8070,microsoft-corp-msn-as-block
165.159.136.0/22,8070,microsoft-corp-msn-as-block
165.159.188.0/22,8070,microsoft-corp-msn-as-block
167.21.32.0/21,8075,microsoft-corp-msn-as-block
167.21.152.0/21,8075,microsoft-corp-msn-as-block
167.92.211.0/24,8075,microsoft-corp-msn-as-block
167.92.212.0/24,8075,microsoft-corp-msn-as-block
167.105.0.0/16,8075,microsoft-corp-msn-as-block
167.162.0.0/16,8075,microsoft-corp-msn-as-block
167.186.0.0/16,8075,microsoft-corp-msn-as-block
157.95.0.0/16,8075,microsoft-corp-msn-as-block
168.61.0.0/16,8075,microsoft-corp-msn-as-block
157.56.0.0/16,8075,microsoft-corp-msn-as-block
157.31.0.0/16,8075,microsoft-corp-msn-as-block
147.145.0.0/16,8075,microsoft-corp-msn-as-block
147.243.0.0/16,8075,microsoft-corp-msn-as-block
148.7.0.0/16,8075,microsoft-corp-msn-as-block
150.171.0.0/19,8075,microsoft-corp-msn-as-block
150.171.32.0/24,8068,microsoft-corp-msn-as-block
150.171.33.0/24,8075,microsoft-corp-msn-as-block
150.171.34.0/23,8075,microsoft-corp-msn-as-block
150.171.36.0/22,8075,microsoft-corp-msn-as-block
150.171.40.0/24,8075,microsoft-corp-msn-as-block
150.171.41.0/24,8068,microsoft-corp-msn-as-block
150.171.42.0/24,8075,microsoft-corp-msn-as-block
150.171.43.0/24,8068,microsoft-corp-msn-as-block
150.171.44.0/24,8068,microsoft-corp-msn-as-block
150.171.45.0/24,8075,microsoft-corp-msn-as-block
150.171.46.0/23,8075,microsoft-corp-msn-as-block
150.171.48.0/20,8075,microsoft-corp-msn-as-block
150.171.64.0/18,8075,microsoft-corp-msn-as-block
150.171.128.0/17,8075,microsoft-corp-msn-as-block
151.206.0.0/16,8075,microsoft-corp-msn-as-block
155.60.232.0/23,8075,microsoft-corp-msn-as-block
155.60.240.0/23,8075,microsoft-corp-msn-as-block
155.62.0.0/16,8075,microsoft-corp-msn-as-block
156.20.22.0/23,8075,microsoft-corp-msn-as-block
157.55.0.0/16,8075,microsoft-corp-msn-as-block
193.221.113.0/24,8075,microsoft-corp-msn-as-block
168.62.0.0/15,8075,microsoft-corp-msn-as-block
170.22.154.0/23,8075,microsoft-corp-msn-as-block
185.195.244.0/23,8075,microsoft-corp-msn-as-block
185.209.208.0/23,8075,microsoft-corp-msn-as-block
185.211.208.0/24,8075,microsoft-corp-msn-as-block
185.222.140.0/22,8075,microsoft-corp-msn-as-block
185.236.221.0/24,8075,microsoft-corp-msn-as-block
185.242.137.0/24,8075,microsoft-corp-msn-as-block
185.242.139.0/24,8075,microsoft-corp-msn-as-block
188.94.190.0/24,8075,microsoft-corp-msn-as-block
191.232.0.0/13,8075,microsoft-corp-msn-as-block
192.12.20.0/24,8075,microsoft-corp-msn-as-block
192.28.24.0/23,8075,microsoft-corp-msn-as-block
192.40.78.0/23,8075,microsoft-corp-msn-as-block
192.48.225.0/24,8075,microsoft-corp-msn-as-block
192.84.160.0/23,8075,microsoft-corp-msn-as-block
192.100.104.0/21,8075,microsoft-corp-msn-as-block
192.100.112.0/20,8075,microsoft-corp-msn-as-block
192.100.128.0/22,8075,microsoft-corp-msn-as-block
192.102.165.0/24,8075,microsoft-corp-msn-as-block
192.131.254.0/24,8075,microsoft-corp-msn-as-block
192.197.157.0/24,8075,microsoft-corp-msn-as-block
192.243.86.0/23,8075,microsoft-corp-msn-as-block
193.53.155.0/24,8075,microsoft-corp-msn-as-block
193.134.96.0/24,8075,microsoft-corp-msn-as-block
185.187.104.0/23,8075,microsoft-corp-msn-as-block
169.138.0.0/16,8075,microsoft-corp-msn-as-block
185.154.80.0/22,8075,microsoft-corp-msn-as-block
185.135.57.0/24,8075,microsoft-corp-msn-as-block
170.22.156.0/23,8075,microsoft-corp-msn-as-block
170.62.37.0/24,8075,microsoft-corp-msn-as-block
170.88.82.0/23,8075,microsoft-corp-msn-as-block
170.88.84.0/23,8075,microsoft-corp-msn-as-block
170.114.39.0/24,8075,microsoft-corp-msn-as-block
170.114.47.0/24,8075,microsoft-corp-msn-as-block
170.114.56.0/23,8075,microsoft-corp-msn-as-block
170.165.0.0/16,8075,microsoft-corp-msn-as-block
170.176.205.0/24,8075,microsoft-corp-msn-as-block
172.128.0.0/10,8075,microsoft-corp-msn-as-block
172.200.0.0/13,8075,microsoft-corp-msn-as-block
